name,rating_count,rating_average,id
Kappo Sono / Koryori,88.0,5.0,58600
HAGS,21.0,5.0,59000
Ferdi,9.0,5.0,60060
4 Charles Prime Rib,18009.0,4.93348,834
Don Angie,17346.0,4.85956,1505
Sushi Zo,2650.0,4.89434,696
Sixty Three Clinton,1235.0,4.89879,52711
Shinn East,1145.0,4.86638,34687
NAKAJI,955.0,4.86178,10163
Sushi Ikumi,544.0,4.92463,40735
Taikun Sushi,340.0,4.9,50244
HIBINO - Brooklyn,292.0,4.87329,58533
Ito,280.0,4.91429,54504
Bar Lula,245.0,4.88163,57507
Accidental Bar,233.0,4.897,27607
Kono,207.0,4.90338,58459
Thirteen Water,195.0,4.86154,59903
Stafili Wine Cafe,172.0,4.88372,54637
Goodnight Sonny,139.0,4.86331,31546
Esora Omakase,122.0,4.86885,54582
Blue Haven-West Village,115.0,4.85217,50804
Lobby Lounge,76.0,4.89474,60639
Sant Ambroeus - Brookfield Place,55.0,4.89091,57316
Potluck Club,40.0,4.9,63514
Parcelle,38.0,4.89474,59471
Mister Paradise,30.0,4.86667,51561
noma - Events,25.0,4.88,57543
Grape & Grain NYC,23.0,4.86957,56489
Pep's on Grand,21.0,4.85714,54519
Felice on Hudson,18.0,4.94444,59075
Beyond Meat & Gregorys - Brooklyn,17.0,4.94118,46980
Figaro NYC,14.0,4.92857,60931
Della's,14.0,4.92857,60351
MP Governors Island,13.0,4.92308,52210
Mr. Fong's,9.0,4.88889,41775
Loring Place,27932.0,4.76174,679
Pastis,27742.0,4.78149,6484
Rubirosa,22519.0,4.84489,466
I Sodi,13974.0,4.80614,443
Au Cheval - NYC,8990.0,4.75362,5769
L'Artusi,7210.0,4.79681,25973
Via Carota,7030.0,4.75249,2567
Raoul's,6955.0,4.84285,7241
Sushi Nakazawa NY,6288.0,4.77767,5589
Minetta Tavern,4568.0,4.76686,9846
Raku Soho,4408.0,4.83485,2026
Jeffrey's Grocery,4186.0,4.75896,395
Cervo’s,4149.0,4.77946,1385
Joseph Leonard,4104.0,4.82822,394
Colonie,3624.0,4.83333,1999
Hanoi House,3574.0,4.8103,4272
Dirt Candy,2999.0,4.81994,29371
Fairfax,2876.0,4.7573,1689
The Dead Rabbit,2670.0,4.82959,38660
Popina NYC,2598.0,4.82602,1340
Dear Irving Gramercy,2525.0,4.78495,5273
Tuome,2431.0,4.76964,6610
Noreetuh,2262.0,4.82759,5025
MOKYO,2254.0,4.84827,38941
Flex Mussels- WV,2175.0,4.77747,3534
La Vara,2142.0,4.81046,28927
Dame,2090.0,4.84019,34341
Forsythia,2020.0,4.77673,27809
Kings Co Imperial - Lower East Side,1907.0,4.80336,2738
Russ & Daughters Cafe,1874.0,4.75347,4600
da Toscano,1761.0,4.79387,8568
Tomiño Taberna Gallega,1638.0,4.75519,50250
La Compagnie des Vins Surnaturels,1604.0,4.82668,5664
Golden Diner,1546.0,4.77038,9520
MAMO Restaurant,1523.0,4.75246,50930
Houseman,1482.0,4.77733,5470
The Up & Up,1399.0,4.78556,8550
Bobo NYC,1371.0,4.75857,53199
Berimbau Brazilian Kitchen,1367.0,4.75055,37288
The Bar at Manhatta,1332.0,4.76952,59549
The Mary Lane,1204.0,4.75664,54342
L'Appart,1159.0,4.84642,1770
Sonnyboy,1154.0,4.7513,4530
Malaparte,1089.0,4.76951,52426
Overstory,1085.0,4.81475,53052
Farra,1036.0,4.80598,7481
Luthun,1025.0,4.78146,6369
FERNS,1021.0,4.75318,2073
Balvanera,959.0,4.78206,7140
Bar Six,901.0,4.7636,28409
SAGA,864.0,4.81713,52855
L'accolade,791.0,4.82301,25120
Shabu Tatsu,777.0,4.8018,36758
Barbuto,758.0,4.75858,9649
Chito Gvrito,737.0,4.75848,50320
The Little Shop,728.0,4.80769,36432
Torien,718.0,4.83983,7318
Em Vietnamese Bistro,652.0,4.76074,51471
Spaghetti Incident,634.0,4.75868,6327
Ama Raw Bar,621.0,4.78261,50258
Cafe Spaghetti,619.0,4.83037,59220
l'abeille,552.0,4.79348,59006
Saint Julivert Fisherie,497.0,4.83099,54714
Omakase Room by Mitsu,451.0,4.80266,7519
Oiji Mi,443.0,4.79684,58543
Matsunori,440.0,4.77045,58553
8282,439.0,4.80182,54395
Sushi Kai,314.0,4.75796,54894
Hudson Hall,272.0,4.75735,3210
Ama Raw Bar - West Village,270.0,4.8,55270
The Belfry,267.0,4.7603,1513
The Noortwyck,255.0,4.83137,58972
CocoPazzo Restaurant & Pizzeria,248.0,4.75403,50893
Pips,241.0,4.75104,9058
Sushi Teru Omakase,226.0,4.76106,44359
St. Jardim,171.0,4.83626,59132
Motorino,165.0,4.84242,52420
The Wayland,162.0,4.83951,38101
Gouie New York,159.0,4.79245,57170
Martiny's,156.0,4.82692,60243
TLK - by Tigerlily Kitchen,140.0,4.79286,58637
Marylou,126.0,4.80159,59859
Smør,124.0,4.84677,58326
Essex Pearl,116.0,4.77586,58951
Metrograph Commissary,81.0,4.75309,57502
Kesté Pizza & Vino,79.0,4.75949,59213
Manero's Bar & Restaurant,78.0,4.75641,52800
Sushi Lab - East Village,43.0,4.7907,61135
Champers Social Club,25.0,4.76,60445
Morgenstern's Finest Ice Cream,23.0,4.82609,53170
SET LES,16.0,4.75,10173
Gotham,12.0,4.83333,7104
Prodigy Wine,8.0,4.75,58355
Union Square Cafe,38136.0,4.73964,698
Charlie Bird,24063.0,4.66766,5
Pasquale Jones,19934.0,4.69188,440
Emily WV,19211.0,4.70454,1325
Shuka,17208.0,4.71339,1575
Carbone,14707.0,4.74998,6194
il Buco,13686.0,4.68062,675
Fish Cheeks,13059.0,4.70809,693
Dante,10417.0,4.6691,1290
Shuko,9333.0,4.74703,496
The Tavern at Gramercy Tavern,8517.0,4.73653,3731
abcV by Jean-Georges,8384.0,4.66186,5256
Vic’s,8000.0,4.74,2790
Tokyo Record Bar,6861.0,4.68897,1518
Estela,6828.0,4.73301,4288
Altro Paradiso,6596.0,4.6983,4290
Nami Nori West Village,6592.0,4.73984,7425
Claudette,5620.0,4.69982,47
French Louie,5534.0,4.71016,2018
il Buco Alimentari e Vineria,5510.0,4.71125,6583
Llama San,5491.0,4.68184,4450
Wayla,5013.0,4.74845,5192
Soothr,4161.0,4.72435,50440
Morandi,3898.0,4.65059,26
Harry's,3788.0,4.68031,1865
Shoo Shoo,3768.0,4.67144,4044
Thai Diner,3624.0,4.73096,49453
Gage & Tollner,3330.0,4.66547,10123
Clinton St. Baking Co,3189.0,4.71402,2078
Perry Street by Jean-Georges & Cedric,2909.0,4.71674,5966
Raines Law Room,2834.0,4.69478,5886
Wallsé,2801.0,4.66476,6589
Miss Lily's 7A Cafe & Rum Bar,2596.0,4.66371,1968
Indochine,2525.0,4.67366,32470
Van Da,2412.0,4.70937,5380
Mathews Food & Drink,2401.0,4.6918,1071
Thai Villa,2339.0,4.68833,52944
Chama Mama Chelsea,2214.0,4.72448,44082
Wall Street Grill,2201.0,4.7015,5371
The Dining Room at Gramercy Tavern,2145.0,4.72681,52209
Vinegar Hill House,2118.0,4.65675,5456
SHION 69 Leonard Street,2115.0,4.66572,888
Urban Vegan Kitchen,2098.0,4.70067,4908
Boqueria Soho,2059.0,4.67411,27219
June Wine Bar,1938.0,4.68266,1016
Roey's,1917.0,4.71205,2524
Momofuku Ko,1916.0,4.66388,3238
Corkbuzz Wine Studio,1894.0,4.68585,994
One White Street,1887.0,4.72496,49137
North Square Restaurant & Lounge,1827.0,4.70991,1402
The Clam,1794.0,4.71906,44018
Left Bank,1745.0,4.65616,5089
Nowon,1708.0,4.70726,8541
Eleni's NYC Restaurant,1690.0,4.70828,9984
Jolene,1644.0,4.73297,7015
232 Bleecker,1431.0,4.72607,33867
La Lanterna di Vittorio,1283.0,4.6781,27758
The Back Room at Double Chicken Please,1237.0,4.74535,42534
Jack & Charlie's 118,1206.0,4.72056,55266
Osteria Carlina,1196.0,4.72241,50417
Emmetts,1193.0,4.6689,3946
Pig and Khao,1154.0,4.68718,44151
Temple Bar,1140.0,4.71404,54784
Anton's,1097.0,4.72197,7979
Due West,1073.0,4.726,1990
Pepolino,1056.0,4.7197,50653
Spicy Moon West Village,1056.0,4.65814,31196
The Nines,1029.0,4.70068,7490
Ruffian,1027.0,4.68647,27786
MáLà Project East Village,956.0,4.70084,6410
The Wild Son,943.0,4.68823,3018
Amelie Wine Bar,906.0,4.68653,42565
Blossom on University,864.0,4.74653,36898
Juku,844.0,4.68602,4905
Gem,821.0,4.7296,49194
Omen Azen,810.0,4.71605,4588
Orale Mexican Kitchen (Jersey City),796.0,4.7299,49278
Analogue,738.0,4.74255,5902
Estancia 460,730.0,4.70274,2594
CICCIO Bar & Alimentari,729.0,4.738,10254
Vineapple,699.0,4.71102,44532
Marian's,688.0,4.73837,58325
The Izakaya,678.0,4.67109,3190
Banzarbar,667.0,4.71064,3400
Bird Dog NY,601.0,4.6589,55553
Pie Night At Dominique Ansel Bakery,578.0,4.7474,1528
Tzarevna,530.0,4.6717,5942
HIROHISA,530.0,4.71698,40734
Subject: A Cocktail Bar,510.0,4.65882,1657
Bellini Seaport,507.0,4.67456,46355
Le Gratin,499.0,4.73146,60029
3 Giovani,478.0,4.73431,50275
White Oak Tavern,466.0,4.6588,43934
Dullboy,457.0,4.70022,49321
Felice Montague,454.0,4.68282,55738
White Star Warren Street,442.0,4.69683,1072
Casa Brazilian Restaurant,432.0,4.68287,50933
AOI Kitchen,399.0,4.65915,42048
Reserve Cut,385.0,4.71169,58431
ONDO,381.0,4.71391,60289
Terroir,376.0,4.73936,52704
Wicked Jane,375.0,4.744,10358
The Flower Shop,371.0,4.66577,42291
little rascal,355.0,4.65634,34945
Saigon Social,336.0,4.66964,10494
Ollie,325.0,4.66769,40725
Corner Bar,300.0,4.73667,59068
Nudibranch,299.0,4.71906,59010
Sidney's Five,289.0,4.70588,52916
Oak Tuscan Truffle Lounge,288.0,4.74306,10631
Azasu,286.0,4.74825,3494
Tacombi - Financial District,276.0,4.71377,9888
ZZ's Clam Bar,273.0,4.69231,6249
Entwine,261.0,4.67816,46778
Clover Hill,251.0,4.74502,58842
Wan Wan,243.0,4.69547,59570
